,Date,Sentiment,Text
0,2022-01-20,0.2795788049697876,Iron ore futures held above a ton as China's pledge to spur the economy bolstered demand prospects for the raw... 
1,2022-01-19,0.12048789113759995,Iron ore led gains among industrial metals as China vows to use more monetary policy tools to spur the economy 
2,2022-01-12,0.2817547917366028,Iron ore advanced to the strongest level since the middle of October 
3,2022-01-11,0.6472246646881104,Rio Tinto the world's biggest producer of iron ore will deploy zero emissions trains at its Pilbara mines in Aust... 
4,2022-01-10,0.013444322161376476,Vale the world's second largest iron ore producer halted some mine production because of heavy rainfall in the st... 
5,2021-12-31,0.04460329934954643,Metals are heading for more drama after a tumultuous dominated by supply squeezes China's property led econom... 
6,2021-12-27,0.01474305521696806,Iron ore decline as investors weighed expectations that the steelmaking raw material will face a surplus next year 
7,2021-12-23,0.37040457129478455,Vale the world's second largest iron ore producer is considering acquiring a stake in Anglo American's huge Minas... 
8,2021-12-22,0.6091184616088867,Iron ore a barometer for the Chinese economy and driver of the Australian dollar is probably having its wildest y... 
9,2021-12-21,0.1296064257621765,Iron ore extended its storming rebound from an month low as moves in China to support its embattled real estate... 
10,2021-12-19,0.6078717112541199,Rio Tinto Group the world's top iron ore exporter named the former Canadian ambassador to China Dominic Barton as... 
11,2021-12-13,0.15902836620807648,Iron ore jumps over on bets that China will boost fiscal stimulus 
12,2021-11-29,0.6830891370773315,Vale the world's second largest iron ore producer sees the Beijing Winter Olympics as the turning point for the s... 
13,2021-11-29,0.013318667188286781,Iron ore futures in Singapore jump nearly on optimism over a bout of restocking by China's steel mills and bets... 
14,2021-11-23,0.19625073671340942,Vale expects to lift iron ore output next year albeit at a slower rate than some analysts are estimating 
15,2021-11-10,0.5833462476730347,Shipping routes for the transport of iron ore from Australia to Japan and containerized goods from East Asia to Eur... 
16,2021-11-10,0.002198300790041685,Iron ore sinks to a fresh month low amid debt troubles in China's real estate market 
17,2021-11-08,0.0033227044623345137,Australia's iron ore shipments to China are slowing just as a decline in prices is taking hold potentially weighin... 
18,2021-11-02,0.27336522936820984,France backs off on fishing COP continues iron ore slumps and gas supplies tighten. Get ready for Tuesday 
19,2021-11-02,0.10526690632104874,Iron ore futures extend losses below a ton on shrinking steel output in China and signs economic growth is fac... 
20,2021-11-01,0.29402169585227966,Rio Tinto CEO says it might take until the end of this decade before the world's biggest iron ore miner has a clear... 
21,2021-10-20,0.17668423056602478,BHP the world's biggest mining company has raised its offer for Noront Resources trumping a bid from iron ore bi... 
22,2021-10-20,0.02078055404126644,Vale the world's No. iron ore miner is cutting back on lower quality supply after a bumper third quarter 
23,2021-10-19,0.4719439744949341,Investors will look to Vale's production numbers today to glean insights on the direction of fickle iron ore markets 
24,2021-10-14,0.2787303626537323,It took Andrew Forrest a little over a decade to build an iron ore empire to challenge the global majors. Now he's... 
25,2021-10-07,0.5249529480934143,If iron ore giant Vale decides to separate its base metals operations it may look at the possibility of merging th... 
26,2021-10-05,0.03370257467031479,The cost of shipping containers has gotten so out of hand that Coca Cola is switching to bulk freight carriers that... 
27,2021-10-05,0.8605620861053467,Anglo American appoints a female CEO to run its South African iron ore business for the first time 
28,2021-09-29,0.16644300520420074,Vale one of the world's biggest producers of iron ore and nickel has rescued the remaining employees who were tra... 
29,2021-09-29,0.195863738656044,Australia will have to get used to being less reliant on iron ore 
30,2021-09-24,0.3938888609409332,The hours are long in the Outback's blistering hot mining sites. Now in a bid to attract skilled workers Australi... 
31,2021-09-24,0.867957353591919,Iron ore billionaire Andrew Forrest and former Australian Prime Minister Malcolm Turnbull will spearhead a new glob... 
32,2021-09-24,0.867957353591919,Iron ore billionaire Andrew Forrest and former Australian Prime Minister Malcolm Turnbull will spearhead a new glob... 
33,2021-09-22,0.0467090830206871,Iron ore's roller coaster ride in shows no signs of easing 
34,2021-09-20,0.025020595639944077,Free falling iron ore prices have cost Brazilian producer Vale about billion in market capitalization and the t... 
35,2021-09-20,0.28550130128860474,Australia's top three iron ore miners have shed a combined billion in share value in less than two months 
36,2021-09-20,0.08349868655204773,Iron ore extended its slump below a ton as China stepped up restrictions on industrial activity in some provin... 
37,2021-09-17,0.005395510699599981,Iron ore sank below a ton on Friday as China's moves to clean up its heavy polluting industrial sector spurred... 
38,2021-09-07,0.02165207453072071,The value of China's iron ore imports hits new heights even as policymakers try to cut steel production and calm co... 
39,2021-08-31,0.31758928298950195,Iron ore futures retreated as the market weighed a coming seasonal pick up in Chinese demand against the prospect o... 
40,2021-08-30,0.6135086417198181,Fortescue Metals is planning to unveil targets for reducing the carbon footprint of it biggest customers 
41,2021-08-20,0.04635114595293999,Iron ore's most spectacular collapse on record portends more volatility to come 
42,2021-08-20,0.10222300887107849,Russia's biggest iron ore producer is pushing its green steelmaking credentials as it weighs an IPO that could valu... 
43,2021-08-19,0.0710001140832901,Iron ore luxury stocks and the dollar are all sending the same message across markets investors are getting uneasy 
44,2021-08-19,0.24369478225708008,Iron ore's rout accelerates as China pushes forward with a pledge to curb steel production 
45,2021-07-31,0.434565007686615,Africa's largest oil producer has sizeable untapped deposits of metals including gold zinc lead and iron ore but... 
46,2021-07-20,0.06606809049844742,Brazilian mining giant Vale produced less iron ore than expected last quarter in a fresh blow to an already tight g... 
47,2021-06-18,0.4743761420249939,Iron ore one of the hottest commodities in the early days of the raw materials rally has now become the most vola... 
48,2021-06-15,0.3151659667491913,Iron ore magnate Andrew Forrest is looking to help revive a long delayed multi billion dollar hydroelectric project... 
49,2021-05-27,0.009327542036771774,A volatile month for iron ore and steel rolls on as China steps up its rhetoric around curbing output and pollution... 
50,2021-05-27,0.28962990641593933,Here's how Australian stocks' winning streak could be impacted by iron ore prices this year according to this exec... 
51,2021-05-21,0.7072857022285461,BHP starting production at its . billion South Flank project in Australia will create the world's biggest iron o... 
52,2021-05-19,0.026092054322361946,Iron ore futures in Singapore halt a two day rebound as Chinese steel prices extended declines amid further governm... 
53,2021-05-18,0.10636682063341141,China says it's looking to diversify its supply of iron ore a nod to Australia trade tensions 
54,2021-05-17,0.12329106777906418,Iron ore futures are climbing as soaring steel production in China shows no signs of cooling despite government eff... 
55,2021-05-14,0.00375309563241899,Industrial materials from copper to iron ore are feeling the pain as China steps up efforts to cool a blistering ra... 
56,2021-05-14,0.013198566623032093,Iron ore's slump from a record accelerates as China ramps up efforts to control a dizzying surge in prices 
57,2021-05-12,0.09918169677257538,Iron ore's stunning surge won't fade anytime soon because buyers remain nervous about being caught short according... 
58,2021-05-11,0.05677304416894913,Australia's fiscal windfall from iron ore soaring above a ton and a tumbling jobless rate is set to narrow the... 
59,2021-05-10,0.13089551031589508,Iron ore turns very very hot' as prices jump in minutes 
60,2021-05-10,0.13089551031589508,Iron ore turns very very hot' as prices jump in minutes 
61,2021-05-05,0.21716828644275665,Expectations are building that iron ore prices will hit a record high 
62,2021-04-28,0.015486742369830608,China stepped up its drive to rein in steel production and fight rocketing iron ore prices by canceling import taxe... 
63,2021-04-27,0.3874092400074005,Steel prices surge globally while iron ore heads toward a record as bets on a global economic recovery fuel frenzie... 
64,2021-04-23,0.09837561845779419,Industrial metals from copper to iron ore gained momentum this week flirting with decade high prices 
65,2021-04-20,0.29956480860710144,Iron ore giants challenged in race to meet soaring China demand 
66,2021-04-19,0.06637319922447205,Iron ore futures in Singapore surged on signs of robust demand from China's steel sector 
67,2021-04-14,0.036196518689394,Iron ore futures fell in China as investors weighed export data from top shippers 
68,2021-04-13,0.11182256042957306,Iron ore futures in China extended an advance as imports surged 
69,2021-03-25,0.7228419184684753,Iron ore billionaire Andrew Forrest is taking on Elon Musk in his quest to promote green hydrogen as a game changer... 
70,2021-02-23,0.4239353835582733,Anglo American's South African iron ore unit said it plans to spend . billion rand million to extend the l... 
71,2021-02-17,0.2677531838417053,Rio Tinto the world's top iron ore producer reported a jump in annual profit on a surge in prices for the raw... 
72,2021-02-16,0.28730225563049316,BHP reported a rise in its first half profit as record production from its iron ore operations in Western Austr... 
